Neighborhoods (old),count
35.0,141
6.0,105
4.0,71
16.0,68
1.0,63
17.0,56
36.0,55
40.0,53
41.0,41
19.0,41
14.0,39
34.0,39
28.0,37
2.0,34
5.0,34
3.0,33
9.0,30
21.0,29
31.0,29
29.0,26
25.0,25
10.0,25
12.0,23
26.0,22
32.0,21
22.0,21
23.0,19
24.0,19
8.0,15
11.0,13
20.0,12
13.0,11
27.0,11
7.0,10
39.0,8
38.0,6
15.0,3
33.0,2
