Neighborhoods (old),count
40.0,966
1.0,750
2.0,571
25.0,471
35.0,427
5.0,374
22.0,307
28.0,283
7.0,273
19.0,272
3.0,239
6.0,230
39.0,216
12.0,209
14.0,173
24.0,172
29.0,166
17.0,165
38.0,148
32.0,142
4.0,119
34.0,117
16.0,107
20.0,102
23.0,98
21.0,96
26.0,94
9.0,90
41.0,88
27.0,75
10.0,62
36.0,60
31.0,58
18.0,38
8.0,36
11.0,34
13.0,31
33.0,27
15.0,13
30.0,2
