,CNN,xLoc,yLoc,Latitude,Longitude,InvenID,conditionScore,detectableSurf,vitalFacilities,heavyTraffic,lipTooHigh,probStreetMeetCR,possBasementObstacle,signalPoleInWing,catchBasinFrontOfCR,insideCrosswalk,surfCond,slopeWing,flushToCorner,colorContrast,paintedRed,topClearance,sideClearance,CRTooNarrow,levelLandTop,levelLandBottom,slopeRangeID,crExist,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
count,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1028.0,959.0,963.0,1246.0,396.0,1203.0,1252.0,1252.0,1240.0,1250.0,1242.0,384.0,1249.0,384.0,396.0,396.0,1245.0,1241.0,996.0,1294.0,1294.0,1290.0,1291.0,1293.0,1293.0,1290.0
mean,25212476.742658425,6002366.179100174,2106726.051970543,37.76480222617257,-122.43501811475461,28036.28052550232,37.29211746522411,0.08268482490272373,0.5724713242961418,0.6583592938733126,0.30818619582664525,0.14646464646464646,0.1396508728179551,0.018370607028753993,0.012779552715654952,0.8435483870967742,0.8776,0.3421900161030596,1.0,0.29943955164131303,0.3307291666666667,0.7146464646464646,0.8787878787878788,0.5614457831325301,0.23771152296535053,0.07028112449799197,3.874806800618238,1.0,7.7806201550387595,5.321456235476375,6.4153132250580045,16871.10750193349,19.92480620155039
std,3781527.7044002796,9519.819771218054,9594.138813604197,0.026479006421706877,0.032763223281079584,13400.776503605659,10.16087074776471,0.27553928689120644,0.49497816632370734,0.4745062075926842,0.4619293403801829,0.3540187025920213,0.34676860252814234,0.13434114334943623,0.1123669020161393,0.36342952917584553,0.32787839726751705,0.4746339555336591,0.0,0.4581960234466935,0.4710894983882913,0.4521539183016895,0.3267864947003273,0.49640945330429853,0.4258531292378046,0.2557486228223295,0.5200680407178895,0.0,4.879058295983547,2.8382213644099816,3.314521104678942,14271.216598282388,12.983898430946242
min,197201.0,5980813.34195,2086125.01218,37.7080575986674,-122.50962217386648,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,54.0,1.0
25%,23441000.0,5997284.84657,2098491.7623225,37.742184814501265,-122.45256935357467,19161.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,3.0,59.0,6.0
50%,25012000.0,6003989.14468,2108728.59224,37.77044547485918,-122.42929020094547,27825.5,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,9.0,6.0,7.0,28853.0,19.0
75%,26596250.0,6010444.6511225,2114699.98048,37.78683449850102,-122.40706210284436,38562.75,46.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,12.0,8.0,10.0,28860.0,34.0
max,54159000.0,6020759.89591,2122364.36222,37.80811073984077,-122.37035235112955,52929.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,15.0,10.0,11.0,29492.0,41.0
