Neighborhoods (old),count
40.0,1019.0
1.0,813.0
2.0,605.0
35.0,568.0
25.0,496.0
5.0,408.0
6.0,335.0
22.0,328.0
28.0,320.0
19.0,313.0
7.0,283.0
3.0,272.0
12.0,232.0
39.0,224.0
17.0,221.0
14.0,212.0
29.0,192.0
24.0,191.0
4.0,190.0
16.0,175.0
32.0,163.0
34.0,156.0
38.0,154.0
41.0,129.0
21.0,125.0
9.0,120.0
23.0,117.0
26.0,116.0
36.0,115.0
20.0,114.0
10.0,87.0
31.0,87.0
27.0,86.0
8.0,51.0
11.0,47.0
13.0,42.0
33.0,29.0
15.0,16.0
18.0,
30.0,
